reference_date,curve_type,country,instrument_type,coupon_freq,llp,convergence,ufr,alpha,cra,va
2014-12-31,no_VA,AT,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,AUD,SWP,2.0,30.0,40.0,4.2,0.103482,35.0,0.0
2014-12-31,no_VA,BE,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,BGN,SWP,1.0,20.0,40.0,4.2,0.130023,15.000000000000002,0.0
2014-12-31,no_VA,BRL,GVT,0.0,10.0,50.0,5.2,0.138381,35.0,0.0
2014-12-31,no_VA,CAD,SWP,2.0,25.0,40.0,4.2,0.11835,14.000000000000002,0.0
2014-12-31,no_VA,CHF,SWP,1.0,25.0,40.0,3.2,0.120459,10.0,0.0
2014-12-31,no_VA,CLP,SWP,2.0,10.0,50.0,4.2,0.097975,35.0,0.0
2014-12-31,no_VA,CNY,SWP,4.0,10.0,50.0,4.2,0.05,35.0,0.0
2014-12-31,no_VA,COP,SWP,4.0,10.0,50.0,4.2,0.122337,31.0,0.0
2014-12-31,no_VA,CY,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,CZK,SWP,1.0,15.0,45.0,4.2,0.11354,10.0,0.0
2014-12-31,no_VA,DE,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,DKK,SWP,1.0,20.0,40.0,4.2,0.129597,11.0,0.0
2014-12-31,no_VA,EE,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,ES,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,EU,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,FI,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,FR,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,GBP,SWP,2.0,50.0,40.0,4.2,0.125098,10.0,0.0
2014-12-31,no_VA,GR,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,HKD,SWP,4.0,15.0,45.0,4.2,0.10224,10.0,0.0
2014-12-31,no_VA,HRK,GVT,0.0,7.0,53.0,4.2,0.075204,10.0,0.0
2014-12-31,no_VA,HUF,GVT,0.0,15.0,45.0,4.2,0.0596629999999999,10.0,0.0
2014-12-31,no_VA,IE,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,INR,GVT,0.0,10.0,50.0,5.2,0.111558,35.0,0.0
2014-12-31,no_VA,ISK,GVT,0.0,11.0,49.0,4.2,0.116625,10.0,0.0
2014-12-31,no_VA,IT,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,JPY,SWP,2.0,30.0,40.0,3.2,0.118111,10.0,0.0
2014-12-31,no_VA,KRW,SWP,4.0,30.0,40.0,4.2,0.121216,35.0,0.0
2014-12-31,no_VA,LIC,SWP,1.0,25.0,40.0,3.2,0.120459,10.0,0.0
2014-12-31,no_VA,LTL,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,LU,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,LVL,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,MT,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,MXN,GVT,0.0,20.0,40.0,5.2,0.131349,35.0,0.0
2014-12-31,no_VA,MYR,SWP,4.0,20.0,40.0,4.2,0.121582,25.0,0.0
2014-12-31,no_VA,NL,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,NOK,SWP,1.0,10.0,50.0,4.2,0.095685,10.0,0.0
2014-12-31,no_VA,NZD,SWP,2.0,20.0,40.0,4.2,0.05,35.0,0.0
2014-12-31,no_VA,PLN,GVT,0.0,15.0,45.0,4.2,0.098443,10.0,0.0
2014-12-31,no_VA,PT,SWP,1.0,20.0,40.0,4.2,0.129489,10.0,0.0
2014-12-31,no_VA,RON,SWP,1.0,10.0,50.0,4.2,0.089506,35.0,0.0
2014-12-31,no_VA,RUB,SWP,1.0,10.0,50.0,4.2,0.105123,35.0,0.0
2014-12-31,no_VA,SEK,SWP,1.0,10.0,10.0,4.2,0.5107870000000001,10.0,0.0
2014-12-31,no_VA,SGD,SWP,2.0,20.0,40.0,4.2,0.111806,29.0,0.0
